"features","fold"
"median_F0final_sma","stable"
"iqr_F0final_sma","stable"
"iqr_logHNR_sma","stable"
"median_audSpec_Rfilt_sma_20_","stable"
"median_audSpec_Rfilt_sma_21_","stable"
"median_audSpec_Rfilt_sma_22_","stable"
"median_audSpec_Rfilt_sma_23_","stable"
"median_audSpec_Rfilt_sma_24_","stable"
"median_audSpec_Rfilt_sma_25_","stable"
"iqr_pcm_fftMag_spectralRollOff75.0_sma","stable"
"iqr_pcm_fftMag_spectralEntropy_sma","stable"
"median_pcm_fftMag_spectralSkewness_sma","stable"
"iqr_pcm_fftMag_spectralSkewness_sma","stable"
"median_mfcc_sma_3_","stable"
"median_mfcc_sma_5_","stable"
"median_mfcc_sma_6_","stable"
"iqr_mfcc_sma_6_","stable"
"median_mfcc_sma_8_","stable"
"median_mfcc_sma_11_","stable"
"median_mfcc_sma_14_","stable"
"iqr_mfcc_sma_14_","stable"
"iqr_audSpec_Rfilt_sma_de_20_","stable"
"iqr_pcm_fftMag_spectralRollOff25.0_sma_de","stable"
"iqr_pcm_fftMag_spectralSkewness_sma_de","stable"
"iqr_mfcc_sma_de_1_","stable"
"iqr_mfcc_sma_de_2_","stable"
"iqr_audSpec_Rfilt_sma_12_","stable"
"iqr_audSpec_Rfilt_sma_13_","stable"
"median_audSpec_Rfilt_sma_14_","stable"
"iqr_audSpec_Rfilt_sma_14_","stable"
"median_audSpec_Rfilt_sma_15_","stable"
"iqr_audSpec_Rfilt_sma_15_","stable"
"median_audSpec_Rfilt_sma_16_","stable"
"median_pcm_fftMag_spectralRollOff90.0_sma","stable"
"median_mfcc_sma_2_","stable"
"median_mfcc_sma_9_","stable"
"iqr_audSpec_Rfilt_sma_de_16_","stable"
