"features","fold"
"iqr_F0final_sma","stable"
"median_voicingFinalUnclipped_sma","stable"
"iqr_voicingFinalUnclipped_sma","stable"
"median_pcm_RMSenergy_sma","stable"
"median_audSpec_Rfilt_sma_0_","stable"
"iqr_audSpec_Rfilt_sma_1_","stable"
"iqr_audSpec_Rfilt_sma_11_","stable"
"iqr_audSpec_Rfilt_sma_15_","stable"
"iqr_audSpec_Rfilt_sma_16_","stable"
"iqr_audSpec_Rfilt_sma_17_","stable"
"median_audSpec_Rfilt_sma_21_","stable"
"median_audSpec_Rfilt_sma_23_","stable"
"median_audSpec_Rfilt_sma_24_","stable"
"`median_pcm_fftMag_fband250-650_sma`","stable"
"`iqr_pcm_fftMag_fband250-650_sma`","stable"
"median_pcm_fftMag_spectralRollOff25.0_sma","stable"
"iqr_pcm_fftMag_spectralRollOff25.0_sma","stable"
"median_pcm_fftMag_spectralRollOff50.0_sma","stable"
"iqr_pcm_fftMag_spectralFlux_sma","stable"
"iqr_pcm_fftMag_spectralVariance_sma","stable"
"median_pcm_fftMag_spectralKurtosis_sma","stable"
"median_mfcc_sma_1_","stable"
"iqr_mfcc_sma_2_","stable"
"iqr_mfcc_sma_3_","stable"
"median_mfcc_sma_7_","stable"
"iqr_mfcc_sma_7_","stable"
"median_mfcc_sma_8_","stable"
"median_mfcc_sma_9_","stable"
"median_mfcc_sma_11_","stable"
"iqr_mfcc_sma_11_","stable"
"median_mfcc_sma_12_","stable"
"median_mfcc_sma_13_","stable"
"iqr_mfcc_sma_13_","stable"
"median_mfcc_sma_14_","stable"
"iqr_mfcc_sma_14_","stable"
"iqr_audSpec_Rfilt_sma_de_0_","stable"
"iqr_audSpec_Rfilt_sma_de_1_","stable"
"iqr_pcm_fftMag_spectralRollOff25.0_sma_de","stable"
"iqr_pcm_fftMag_spectralRollOff75.0_sma_de","stable"
"iqr_pcm_fftMag_spectralRollOff90.0_sma_de","stable"
"median_pcm_fftMag_spectralEntropy_sma_de","stable"
"iqr_pcm_fftMag_spectralEntropy_sma_de","stable"
"iqr_pcm_fftMag_spectralVariance_sma_de","stable"
"iqr_pcm_fftMag_spectralKurtosis_sma_de","stable"
"median_mfcc_sma_de_4_","stable"
"iqr_mfcc_sma_de_4_","stable"
"iqr_mfcc_sma_de_5_","stable"
"median_mfcc_sma_de_7_","stable"
"iqr_mfcc_sma_de_7_","stable"
"median_mfcc_sma_de_8_","stable"
"median_mfcc_sma_de_10_","stable"
"iqr_mfcc_sma_de_10_","stable"
"median_mfcc_sma_de_12_","stable"
"median_mfcc_sma_de_14_","stable"
"median_F0final_sma","stable"
"iqr_shimmerLocal_sma","stable"
"median_audSpec_Rfilt_sma_19_","stable"
"median_audSpec_Rfilt_sma_25_","stable"
"`median_pcm_fftMag_fband1000-4000_sma`","stable"
"median_pcm_fftMag_spectralFlux_sma","stable"
"median_pcm_fftMag_spectralSlope_sma","stable"
"iqr_pcm_fftMag_psySharpness_sma","stable"
"median_mfcc_sma_3_","stable"
"median_mfcc_sma_6_","stable"
"iqr_mfcc_sma_8_","stable"
"iqr_audSpec_Rfilt_sma_de_20_","stable"
"iqr_audSpec_Rfilt_sma_de_21_","stable"
"iqr_mfcc_sma_de_2_","stable"
"iqr_mfcc_sma_de_3_","stable"
